firm,cc1 lcu amount,cc1 lcu fx rate,source_name_Australia,source_name_Bahrain,source_name_Canada,source_name_France,source_name_Germany,source_name_Italy,source_name_Japan,source_name_Kuwait,source_name_Malaysia,source_name_New Zealand,source_name_Oman,source_name_Qatar,source_name_Saudi Arabia,source_name_Singapore,source_name_South Africa,source_name_Sweden,source_name_Thailand,source_name_United Arab Emirates,source_name_United Kingdom,source_name_United States,speed actual_2 days,speed actual_3-5 days,speed actual_6 days or more,speed actual_Less than one hour,speed actual_Next day,speed actual_Same day
Wall St Exchange,735,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Western Union,735,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
ANZ Bank,200,47.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ANZ Bank,200,47.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Aussie Forex & Finance,200,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Aussie Forex & Finance,200,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bank of Baroda,200,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ceylon Exchange,200,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ceylon Exchange,200,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Citibank,200,49.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Citilink Finance,200,49.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Commonwealth Bank,200,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Commonwealth Bank,200,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Fast Remit,200,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
FLASHremit,200,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
